LAST SEEN   TYPE      REASON              OBJECT                         MESSAGE
7s          Normal    BackOff             pod/swebench-run-24406-12709   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:matplotlib__matplotlib-25311"
7s          Warning   Failed              pod/swebench-run-24406-12709   Error: ImagePullBackOff
19s         Normal    BackOff             pod/swebench-run-24407-32342   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:matplotlib__matplotlib-24970"
19s         Warning   Failed              pod/swebench-run-24407-32342   Error: ImagePullBackOff
11s         Normal    BackOff             pod/swebench-run-24408-13404   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sympy__sympy-17139"
11s         Warning   Failed              pod/swebench-run-24408-13404   Error: ImagePullBackOff
10s         Normal    BackOff             pod/swebench-run-24409-10916   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-16899"
10s         Warning   Failed              pod/swebench-run-24409-10916   Error: ImagePullBackOff
9s          Normal    BackOff             pod/swebench-run-24410-15685   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:scikit-learn__scikit-learn-13142"
9s          Warning   Failed              pod/swebench-run-24410-15685   Error: ImagePullBackOff
12s         Normal    BackOff             pod/swebench-run-24411-17450   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-14315"
4m58s       Warning   Failed              pod/swebench-run-24411-17450   Error: ImagePullBackOff
3s          Normal    BackOff             pod/swebench-run-24412-12552   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:scikit-learn__scikit-learn-14629"
3s          Warning   Failed              pod/swebench-run-24412-12552   Error: ImagePullBackOff
4s          Normal    BackOff             pod/swebench-run-24413-28650   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-16429"
4m55s       Warning   Failed              pod/swebench-run-24413-28650   Error: ImagePullBackOff
11s         Normal    BackOff             pod/swebench-run-24414-4804    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11400"
