Image Base,Completed Jobs,Avg Len (s),P90 Len (s),Max Len (s),Avg CPU (m),Max CPU (m),Avg RAM (MiB),Max RAM (MiB)
django__django-11880,11,1517.1,1689.0,2648.0,372.8,1000,1455.9,4092.0
scikit-learn__scikit-learn-13135,11,2045.0,2270.0,3155.0,435.5,3924,1353.2,4080.0
django__django-14792,9,2053.2,2695.6,2702.0,314.4,1111,1341.0,4079.0
django__django-13820,5,1807.6,2042.2,2045.0,267.7,992,1174.8,4076.0
scikit-learn__scikit-learn-13142,6,1466.3,1781.0,1994.0,300.2,2045,729.5,2696.0
scikit-learn__scikit-learn-26194,14,1536.1,1971.3,2573.0,284.3,1728,821.9,2674.0
scikit-learn__scikit-learn-10908,7,1610.1,2259.8,2300.0,313.1,3614,671.5,2674.0
scikit-learn__scikit-learn-14141,10,1323.8,1875.4,1924.0,370.8,2069,871.0,2674.0
scikit-learn__scikit-learn-14087,7,1892.7,2316.4,2434.0,263.5,4044,704.0,2655.0
scikit-learn__scikit-learn-12585,12,1273.5,2182.3,2481.0,379.1,4047,825.8,2610.0
scikit-learn__scikit-learn-10844,11,1794.5,2460.0,2478.0,252.6,1557,841.7,2605.0
scikit-learn__scikit-learn-14894,15,1570.5,2076.0,2461.0,322.2,3754,813.6,2596.0
scikit-learn__scikit-learn-25931,12,1335.1,1725.6,2004.0,321.4,4722,732.6,2563.0
scikit-learn__scikit-learn-10297,9,1549.1,2172.6,2651.0,302.7,1969,753.8,2563.0
scikit-learn__scikit-learn-15100,14,1679.0,2220.9,2331.0,303.2,2326,737.0,2548.0
scikit-learn__scikit-learn-13124,7,1566.3,2047.4,2087.0,283.9,2394,740.4,2541.0
scikit-learn__scikit-learn-14710,8,1472.4,1981.4,2743.0,330.4,3910,734.2,2535.0
scikit-learn__scikit-learn-25232,0,0.0,0.0,0.0,115.9,3792,336.7,2529.0
scikit-learn__scikit-learn-9288,6,1621.8,1998.0,2294.0,340.0,1734,832.3,2529.0
scikit-learn__scikit-learn-14983,11,2176.1,3053.0,3107.0,246.9,2782,738.3,2523.0
scikit-learn__scikit-learn-14496,12,1843.0,2225.0,2225.0,252.3,2822,661.1,2518.0
scikit-learn__scikit-learn-12682,8,1747.4,2362.1,2584.0,252.4,1722,706.2,2469.0
scikit-learn__scikit-learn-26323,5,1521.6,1994.8,2172.0,362.3,2710,743.4,2459.0
scikit-learn__scikit-learn-11578,7,1478.3,1708.8,1848.0,344.0,2823,786.2,2393.0
scikit-learn__scikit-learn-13439,12,1411.9,1945.7,2026.0,318.9,4559,774.9,2388.0
astropy__astropy-7166,9,1056.8,1476.2,1501.0,99.4,624,225.0,594.0
astropy__astropy-14096,7,1025.7,1231.6,1342.0,119.8,657,241.6,585.0
astropy__astropy-8872,8,1116.1,1195.3,1280.0,85.1,583,233.3,582.0
astropy__astropy-13579,9,1039.1,1213.4,1431.0,99.3,611,230.6,575.0
astropy__astropy-14309,10,1363.3,1519.4,1829.0,83.6,646,219.2,573.0
astropy__astropy-13977,7,1189.9,1375.0,1378.0,93.6,505,225.9,572.0
astropy__astropy-13033,14,1143.3,1574.6,1708.0,101.1,724,221.2,566.0
astropy__astropy-13236,10,1111.5,1519.6,1579.0,95.6,598,222.8,564.0
astropy__astropy-12907,14,1168.5,1352.3,1460.0,89.3,848,224.4,563.0
astropy__astropy-14182,10,1422.2,1644.8,1679.0,75.3,586,210.0,554.0
astropy__astropy-14598,4,1466.8,1705.1,1823.0,81.2,668,214.9,552.0
astropy__astropy-14508,13,1144.7,1476.6,1516.0,97.9,692,231.3,545.0
astropy__astropy-13453,12,1348.8,1618.8,1877.0,88.5,633,215.4,542.0
astropy__astropy-14539,11,1314.5,1599.0,1694.0,78.0,755,214.7,541.0
django__django-14765,11,584.6,793.0,998.0,77.6,616,219.6,447.0
django__django-10097,10,985.5,1137.5,1313.0,40.2,666,235.6,443.0
django__django-10914,8,905.1,1032.5,1162.0,40.4,437,235.2,410.0
matplotlib__matplotlib-23299,0,0.0,0.0,0.0,14.8,772,119.5,402.0
matplotlib__matplotlib-14623,9,1123.9,1231.4,1413.0,50.8,658,203.1,395.0
matplotlib__matplotlib-24627,9,1523.8,1778.0,1842.0,37.8,613,185.6,394.0
matplotlib__matplotlib-24149,8,1239.0,1388.4,1408.0,50.2,538,192.7,389.0
matplotlib__matplotlib-24637,5,1408.6,1527.6,1558.0,40.5,416,204.7,389.0
matplotlib__matplotlib-26466,12,1012.3,1312.9,1403.0,66.6,1315,186.4,384.0
django__django-13128,16,972.5,1170.0,1253.0,45.0,663,216.9,379.0
matplotlib__matplotlib-23476,8,1180.5,1400.3,1401.0,55.7,789,182.8,377.0
